rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Bethesda SC ECNL G2008/09,Bethesda SC,135177,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
2,FC DELCO ECNL G2008/09,FC DELCO,46942,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
3,HEX FC Bucks ECNL G2008/09,HEX FC,131600,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
4,Maryland United FC ECNL G2008/09,Maryland United Football Club,46944,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
5,Match Fit Surf ECNL G2008/09,Match Fit Surf,46947,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
6,PDA Blue ECNL G2008/09,PDA Blue (North),128086,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
7,PDA White ECNL G2008/09,PDA White (Shore),128287,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
8,Penn Fusion Soccer Academy ECNL G2008/09,Penn Fusion Soccer Academy,135497,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
9,Philadelphia Ukrainian Nationals ECNL G2008/09,Philadelphia Ukrainian Nationals,134963,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
10,Pipeline SC ECNL G2008/09,Pipeline SC,45827,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
