rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Real Colorado National ECNL G05/04,Real Colorado,45856,13,12,0,1,37,2.85,46,5,41,G2005/2004,ECNL
2,Crossfire Premier ECNL G05/04,Crossfire Premier,12590,13,11,1,1,34,2.62,50,12,38,G2005/2004,ECNL
3,Portland Thorns ECNL G05/04,Portland Thorns FC,45863,13,7,1,5,26,2.0,27,4,23,G2005/2004,ECNL
4,Eastside FC ECNL G05/04,Eastside FC (WA),35154,13,8,4,1,25,1.92,30,25,5,G2005/2004,ECNL
5,Seattle United ECNL G05/04,Seattle United,19792,13,8,5,0,24,1.85,25,11,14,G2005/2004,ECNL
6,La Roca FC ECNL G05/04,La Roca FC,45851,13,6,3,4,22,1.69,28,13,15,G2005/2004,ECNL
7,Northwest Elite FC ECNL G05/04,Oregon Surf SC,66433,13,6,6,1,19,1.46,19,19,0,G2005/2004,ECNL
8,Utah Avalanche ECNL G05/04,Utah Avalanche,12594,13,6,7,0,18,1.38,18,25,-7,G2005/2004,ECNL
9,Real Colorado Athletico ECNL G05/04,Real Colorado,46446,13,4,5,4,16,1.23,11,15,-4,G2005/2004,ECNL
10,Boise Thorns FC ECNL G05/04,Boise Timbers | Thorns,12593,13,3,10,0,9,0.69,8,38,-30,G2005/2004,ECNL
11,Colorado Rapids ECNL G05/04,Colorado Storm,11901,13,2,8,3,9,0.69,16,32,-16,G2005/2004,ECNL
12,Washington Premier ECNL G05/04,Washington Premier FC,12363,13,2,8,3,9,0.69,8,33,-25,G2005/2004,ECNL
13,PacNW SC ECNL G05/04,PacNW,68793,13,1,9,3,6,0.46,13,47,-34,G2005/2004,ECNL
14,Pride SC ECNL G05/04,No Club Selection,35223,13,1,10,2,5,0.38,8,28,-20,G2005/2004,ECNL
1,Portland Thorns ECNL G06,Portland Thorns FC,45861,13,11,0,2,35,2.69,40,7,33,G2006,ECNL
2,La Roca FC ECNL G06,La Roca FC,45850,13,11,1,1,34,2.62,38,10,28,G2006,ECNL
3,Colorado Rapids ECNL G06,Colorado Storm,21349,13,10,2,1,31,2.38,52,17,35,G2006,ECNL
4,Real Colorado National ECNL G06,Real Colorado,45855,13,9,3,1,28,2.15,26,12,14,G2006,ECNL
5,Crossfire Premier ECNL G06,Crossfire Premier,13932,13,8,4,1,25,1.92,22,16,6,G2006,ECNL
6,Utah Avalanche ECNL G06,Utah Avalanche,20424,13,6,4,3,21,1.62,35,21,14,G2006,ECNL
7,Eastside FC ECNL G06,Eastside FC (WA),10513,13,6,5,2,20,1.54,20,19,1,G2006,ECNL
8,Washington Premier ECNL G06,Washington Premier FC,18776,13,6,6,1,19,1.46,23,19,4,G2006,ECNL
9,Northwest Elite FC ECNL G06,Oregon Surf SC,66432,13,4,6,3,15,1.15,17,30,-13,G2006,ECNL
10,PacNW SC ECNL G06,PacNW,19373,13,4,7,2,14,1.08,14,16,-2,G2006,ECNL
11,Seattle United ECNL G06,Seattle United,19791,13,3,9,1,10,0.77,15,32,-17,G2006,ECNL
12,Real Colorado Athletico ECNL G06,Real Colorado,46445,13,2,9,2,8,0.62,5,22,-17,G2006,ECNL
13,Pride SC ECNL G06,No Club Selection,35222,13,0,12,1,1,0.08,8,40,-32,G2006,ECNL
14,Boise Thorns FC ECNL G06,Boise Timbers | Thorns,20416,13,0,12,1,1,0.08,6,60,-54,G2006,ECNL
1,Northwest Elite FC ECNL G07,Oregon Surf SC,66434,13,3,9,1,10,0.77,15,46,-31,G2007,ECNL
1,Crossfire Premier ECNL G08,No Club Selection,21818,13,12,0,1,37,2.85,55,5,50,G2008,ECNL
2,Real Colorado National ECNL G08,Real Colorado,45853,13,10,1,2,32,2.46,41,5,36,G2008,ECNL
3,Colorado Rapids ECNL G08,Colorado Storm,46752,13,7,0,6,27,2.08,27,9,18,G2008,ECNL
4,Eastside FC ECNL G08,Eastside FC (WA),46753,13,8,3,2,26,2.0,41,15,26,G2008,ECNL
5,Real Colorado Athletico ECNL G08,Real Colorado,46443,13,7,3,3,24,1.85,23,15,8,G2008,ECNL
6,La Roca FC ECNL G08,La Roca FC,45848,13,7,4,2,23,1.77,28,21,7,G2008,ECNL
7,Washington Premier ECNL G08,Washington Premier FC,39098,13,6,4,3,21,1.62,20,18,2,G2008,ECNL
