rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Cleveland Force SC ECNL G2009/10,Cleveland Force SC,46986,0,0,0,0,0,0.0,0,0,0,GU17,NORTH
2,GTFC Impact ECNL G2009/10,GTFC Impact,108209,0,0,0,0,0,0.0,0,0,0,GU17,NORTH
3,Internationals SC ECNL G2009/2010,Internationals SC,47002,0,0,0,0,0,0.0,0,0,0,GU17,NORTH
4,Ohio Premier ECNL G2009/10,Ohio Premier,65018,0,0,0,0,0,0.0,0,0,0,GU17,NORTH
5,Pittsburgh Riverhounds ECNL G2009/10,Pittsburgh Riverhounds,60737,0,0,0,0,0,0.0,0,0,0,GU17,NORTH
6,WNY Flash ECNL G2009/10,WNY Flash Academy,47037,0,0,0,0,0,0.0,0,0,0,GU17,NORTH
1,Cleveland Force SC ECNL G2008/09,Cleveland Force SC,46987,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
2,FC Alliance TN ECNL G2008/09,FC Alliance TN,134643,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
3,FC Pride Elite ECNL G2008/09,FC Pride,45768,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
4,GTFC Impact ECNL G2008/09,GTFC Impact,108207,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
5,Indy Eleven ECNL G2008/09,Indy Eleven Academy,46997,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
6,Internationals SC ECNL G2008/2009,Internationals SC,47003,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
7,Ohio Elite SA ECNL G2008/09,Ohio Elite Soccer Academy,47010,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
8,Ohio Premier ECNL G2008/09,Ohio Premier,60137,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
9,Pittsburgh Riverhounds ECNL G2008/09,Pittsburgh Riverhounds,4298,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
10,Racing Louisville Academy ECNL G2008/09,LouCity / Racing Youth Academy,133007,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
11,Tennessee SC ECNL G2008/09,Tennessee SC,133467,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
12,WNY Flash ECNL G2008/09,WNY Flash Academy,47038,0,0,0,0,0,0.0,0,0,0,GU18/19,ECNL
